grupo_idade;brasil;norte;nordeste;sudeste;sul;centro_oeste
Total;56104605;3062123;9814838;27268599;10853578;5105467
10 a 14 anos;3312157;161956;537804;1535472;741668;335257
15 a 17 anos;3740195;188971;668174;1759842;755304;367904
18 ou 19 anos;3011658;165080;551206;1424033;603908;267431
20 a 24 anos;8234307;459221;1549629;3996296;1496158;733003
25 a 29 anos;7632050;479701;1438741;3680760;1329085;703763
30 a 39 anos;12241720;755332;2246639;5803430;2267011;1169308
40 a 49 anos;9376837;496164;1544865;4652842;1857558;825408
50 a 59 anos;5462017;238251;814347;2793984;1154874;460561
60 anos ou mais;3072698;116067;462560;1605245;648012;240814
Homens;28179132;1502733;4725110;13743780;5624862;2582647
10 a 14 anos;1356322;64802;211650;629380;310224;140266
15 a 17 anos;1608259;69603;272821;754713;343634;167488
18 ou 19 anos;1416392;66661;243540;681939;297078;127174
20 a 24 anos;4020747;208900;732313;1962735;764239;352560
25 a 29 anos;3806644;235738;691779;1855604;667054;356469
30 a 39 anos;6350354;394722;1118459;3013608;1224153;599412
40 a 49 anos;5032658;265631;801455;2511124;1017696;436752
50 a 59 anos;2935662;130631;417202;1474435;650238;263156
60 anos ou mais;1641529;64992;235673;851789;350546;138529
Mulheres;27925473;1559390;5089728;13524819;5228716;2522820
10 a 14 anos;1955835;97154;326154;906092;431444;194991
15 a 17 anos;2131936;119368;395353;1005129;411670;200416
18 ou 19 anos;1595266;98419;307666;742094;306830;140257
20 a 24 anos;4213560;250321;817316;2033561;731919;380443
25 a 29 anos;3825406;243963;746962;1825156;662031;347294
30 a 39 anos;5891366;360610;1128180;2789822;1042858;569896
40 a 49 anos;4344179;230533;743410;2141718;839862;388656
50 a 59 anos;2526355;107620;397145;1319549;504636;197405
60 anos ou mais;1431169;51075;226887;753456;297466;102285
